id,calories,proteins,fat,carbohydrate,name,kategori
1063,230.0,0.6,0.2,56.5,Sagu kasbi segar,bahan pangan
1064,452.0,2.8,14.8,76.8,Sagu Lemak (Kue Sagon),bahan pangan
1065,347.0,0.9,0.3,85.2,Sagu lempeng,bahan pangan
1066,364.0,0.1,0.2,90.5,Sagu Rendang,bahan pangan
1067,362.0,0.5,0.3,86.9,Sagu singkong kering,bahan pangan
1068,354.0,0.8,8.3,68.9,Sagu sinole,bahan pangan
1069,57.0,0.5,0.1,13.6,Salak bali segar,bahan pangan
1070,55.0,0.4,0.2,12.8,Salak medan segar,bahan pangan
1071,87.0,0.8,0.4,20.1,Salak pondoh segar,bahan pangan
1072,281.0,2.4,0.7,66.1,Sale pisang siam,buah
1073,122.0,2.0,10.0,7.6,Santan (dengan air),bahan pangan
1074,324.0,4.2,34.3,55.6,Santan (kelapa saja),bahan pangan
1075,324.0,4.2,34.3,5.6,Santan murni,bahan pangan
1076,98.0,2.0,0.4,24.5,Saos Tomat,bahan pangan
1077,212.0,18.0,10.6,59.3,Sapi abon,bahan pangan
1078,108.0,17.6,4.2,0.0,Sapi babat segar,bahan pangan
1079,182.0,32.0,6.0,0.0,Sapi daging asap,lauk
1080,301.0,55.0,9.0,0.0,Sapi daging dendeng mentah,lauk
1081,273.0,17.5,22.0,0.0,Sapi daging gemuk segar,lauk
1082,289.0,16.0,25.0,0.0,Sapi daging kornet,lauk
1083,174.0,19.6,10.0,0.0,Sapi daging kurus segar,lauk
1084,201.0,18.8,14.0,0.0,Sapi daging lemak sedang segar,lauk
1085,448.0,14.5,42.3,2.3,Sapi daging sosis (Worst),lauk
1086,183.0,12.0,14.4,1.4,Sapi daleman segar,bahan pangan
1087,98.0,21.9,1.1,0.0,Sapi dideh/darah,bahan pangan
1088,137.0,15.0,8.1,0.9,Sapi ginjal segar,bahan pangan
1089,274.0,16.0,22.0,3.0,Sapi hati sosis (liverworst),bahan pangan
1090,84.0,10.5,4.6,0.2,Sapi keleponan segar,bahan pangan
1091,132.0,19.7,3.2,6.0,Sapi liver segar,bahan pangan
1092,123.0,10.4,8.6,0.8,Sapi otak segar,bahan pangan
1093,360.0,57.3,6.0,19.2,Sapi paru dendeng mentah,bahan pangan
1094,268.0,23.9,12.7,14.5,Sapi paru goreng,bahan pangan
1095,126.0,14.0,7.2,1.5,Sapi usus segar,bahan pangan
1096,281.0,37.5,0.3,32.1,Sarang Burung,bahan pangan
1097,338.0,21.1,27.0,1.0,Sardines dalam kaleng,bahan pangan
1098,344.0,30.0,20.0,43.0,Sari Kedelai bubuk,bahan pangan
1099,166.0,2.3,2.8,32.9,Sarimuka,bahan pangan
1100,283.0,12.1,16.8,20.9,Sate Bandeng,bahan pangan
1101,110.0,15.5,0.5,11.5,Sate Kulit ,bahan pangan
1102,179.0,22.5,3.5,13.3,Sate penyu masakan,bahan pangan
1103,274.0,12.9,18.6,13.6,Sate pusut masakan,bahan pangan
1104,126.7,14.0,7.3,1.3,Sate Usus ,bahan pangan
1105,22.0,2.3,0.3,4.0,Sawi,bahan pangan
1106,9.0,1.0,0.1,1.7,Sawi putih / pecai segar,bahan pangan
1107,30.0,1.9,0.5,4.4,Sawi taiwan segar,bahan pangan
1108,19.0,1.3,0.2,2.9,Sawi tanah segar,bahan pangan
1109,92.0,0.5,1.1,22.4,Sawo,bahan pangan
1110,64.0,1.0,3.1,8.0,Sawo duren segar,bahan pangan
1111,111.0,0.9,2.3,21.6,Sawo kecik segar,bahan pangan
1112,92.0,0.5,1.1,22.4,Sawo Manila segar,bahan pangan
1113,29.0,0.7,0.6,5.0,Sayur asem,sayur
1114,49.0,1.7,0.3,9.8,Sayur bunga pepaya,sayur
1115,178.0,2.6,13.9,10.6,Sayur garu,sayur
1116,133.0,7.3,6.6,11.2,Sayur kohu-kohu,sayur
1117,64.0,2.1,0.6,12.5,Sayur lebui,sayur
1118,36.0,2.7,0.7,4.8,Sayur lilin-terubuk,sayur
1119,49.0,3.1,2.5,3.6,Sayur ndusuk,sayur
1120,27.0,1.3,2.0,1.0,Sayur sop,sayur
1121,67.0,5.2,2.9,5.1,Sayur umbut kelapa,sayur
1122,57.0,5.4,2.6,3.1,Sayur umbut rotan,sayur
1123,15.0,1.2,0.2,2.9,Selada,bahan pangan
1124,17.0,1.7,0.3,3.0,Selada Air,bahan pangan
1125,19.0,2.7,0.2,2.9,Selada Air rebus,bahan pangan
1126,20.0,1.0,0.1,4.6,Seledri,bahan pangan
1127,28.0,0.5,0.2,6.9,Semangka,bahan pangan
1128,192.5,4.5,6.0,30.3,Semur Jengkol ,sayur
1129,64.0,0.6,0.3,14.8,Sente,bahan pangan
1130,353.0,0.7,0.2,84.7,Sente talas segar,bahan pangan
1131,88.0,7.9,1.6,10.6,Sepi masakan,bahan pangan
1132,298.0,8.0,23.8,48.9,Serbuk Coklat,bahan pangan
1133,478.0,2.5,21.2,69.2,Serimping talas kebumen,bahan pangan
1134,213.0,0.0,0.0,55.0,Setrup sirup,bahan pangan
1135,88.0,3.2,8.0,0.8,Shabu-shabu,bahan pangan
1136,474.0,11.2,42.5,11.7,Sie reuboh masakan,bahan pangan
1137,81.0,5.1,4.5,5.1,Singkah (rotan muda),bahan pangan
1138,285.0,1.0,18.0,28.0,Singkong Goreng ,bahan pangan
1139,146.0,1.2,0.3,34.7,Singkong kukus,bahan pangan
1140,173.0,0.5,0.1,42.5,Singkong tape,bahan pangan
1141,95.3,4.4,2.2,14.4,Siomay ,bahan pangan
1142,65.0,1.0,0.3,16.3,Sirsak,bahan pangan
1143,213.0,0.0,0.0,55.0,Sirup,bahan pangan
1144,71.0,7.5,3.6,2.2,Sop buntut masakan,bahan pangan
1145,49.0,5.8,0.5,5.3,Sop daging sapi masakan,lauk
1146,68.0,9.0,1.9,3.7,Sop kaki sapi masakan,bahan pangan
1147,34.0,5.5,0.8,1.1,Sop kambing masakan,bahan pangan
1148,71.0,7.4,2.6,4.5,Sop konro masakan,bahan pangan
1149,12.0,0.5,0.1,2.0,Sop Kool,bahan pangan
